url;title;h1;description;marker_query;word_count;is_article;outbound_body_count;outbound_body_links;inbound_total;inbound_content_only;inbound_breakdown
/;НАШДОМ: дренаж участка, скважина и ливневая канализация;Вода на участке под контролем: дренаж, скважина, ливнёвка;Практический справочник по воде на участке: дренаж своими руками, обустройство скважины и ливневая канализация. Схемы, таблицы и проверенные на опыте цифры.;дренаж скважина;226;no;8;"/drenazh/ (Дренаж участка Осушение участка и защита фундамента: щебень, геотекстиль, трубы, колодцы и пошаговая инструкция монтажа.); /skvazhina/ (Скважина Обустройство скважины на воду: обсадные трубы, адаптер или кессон, гидроаккумулятор и фильтры очистки.); /livnevka/ (Ливневая канализация Сбор воды с крыши и площадок: дождеприёмники, лотки, уклоны труб и монтаж системы.); /drenazh/drenazh-uchastka-svoimi-rukami/ (Участок стоит в воде Пошаговый план дренажа: от схемы ёлочкой до пролива готовой системы.); /drenazh/otvod-vody-ot-doma/ (Мокнет фундамент и цоколь Три рубежа защиты дома: водосток, отмостка и кольцевой дренаж.); /skvazhina/adapter-dlya-skvazhiny/ (Скважина пробурена, что дальше Самый бюджетный способ завести воду в дом: скважинный адаптер.); /drenazh/shcheben-dlya-drenazha/ (Выбираете материалы Флагманский разбор: породы и фракции щебня для дренажной траншеи.); /o-proekte/ (на странице о проекте)";79;0;header-nav:79
/drenazh/;Дренаж участка: инструкции и выбор материалов | НАШДОМ;Дренаж участка: инструкции и выбор материалов;Раздел о дренаже участка: щебень и геотекстиль, дренажные трубы и колодцы, укладка с уклоном, отвод воды от дома и пошаговая инструкция своими руками.;дренаж участка инструкции выбор;190;no;8;"/drenazh/drenazh-uchastka-svoimi-rukami/ (Дренаж участка своими руками Центральная инструкция: план ёлочкой, глубины, восемь шагов монтажа.); /drenazh/shcheben-dlya-drenazha/ (Щебень для дренажа Породы, фракции 5-20, 20-40 и 40-70, расчёт объёма и слои траншеи.); /drenazh/geotekstil-dlya-drenazha/ (Геотекстиль для дренажа Иглопробивной против тканого, плотность 150-250 г/м², правила укладки.); /drenazh/drenazhnaya-truba/ (Дренажная труба Гофра с перфорацией, фильтры из геотекстиля и кокоса, диаметры.); /drenazh/ukladka-drenazhnoy-truby/ (Укладка дренажной трубы Глубина под задачу, уклон 5-10 мм на метр, порядок слоёв.); /drenazh/drenazhnyy-kolodec/ (Дренажный колодец Смотровой, коллекторный и поглотительный: сборка из трубы 315-400.); /drenazh/otvod-vody-ot-doma/ (Отвод воды от дома Три рубежа защиты фундамента: водосток, отмостка, кольцевой дренаж.); /livnevka/ (ливневую канализацию)";58;0;header-nav:58
/drenazh/drenazh-uchastka-svoimi-rukami/;Дренаж участка своими руками: пошаговая инструкция | НАШДОМ;Дренаж участка своими руками: пошаговая инструкция;Рассказываю, как сделать дренаж участка своими руками: план дрен ёлочкой, расстояние между ними, глубина, материалы и восемь шагов монтажа с проверкой уклона.;дренаж участка своими руками;966;yes;9;"/ (как спланировать дренаж на своём участке); /drenazh/drenazhnaya-truba/ (какая дренажная труба подойдёт вашему грунту); /drenazh/shcheben-dlya-drenazha/ (какой щебень нужен для обсыпки дрен); /drenazh/geotekstil-dlya-drenazha/ (выбор геотекстиля по типу и плотности); /drenazh/drenazhnyy-kolodec/ (сборка дренажных колодцев из трубы); /drenazh/ukladka-drenazhnoy-truby/ (Технология укладки дрены: слои и цифры); /drenazh/otvod-vody-ot-doma/ (Способы отвода воды от фундамента); /livnevka/livnevaya-kanalizaciya/ (Ливневая канализация: устройство и уклоны); / (Стартовая страница: дренаж, скважина, ливнёвка)";10;10;"main-card:4; related:6"
/drenazh/drenazhnaya-truba/;Дренажная труба: как выбрать, труба в геотекстиле 110 | НАШДОМ;Дренажная труба: как выбрать;Разбираю, как выбрать дренажную трубу: гофрированная перфорированная 110 мм, труба в геотекстиле и кокосе, диаметры 160-300, перфорация, муфты и бухты.;дренажная труба;930;yes;9;"/drenazh/ukladka-drenazhnoy-truby/ (правила укладки дрены); /drenazh/rating-geotekstilya/ (рейтинг геотекстиля для дренажа); /drenazh/rating-drenazhnyh-trub/ (рейтинг дренажных труб по диаметру и типу); / (осушение и дренаж загородного участка); /drenazh/drenazhnyy-kolodec/ (смотровые узлы на поворотах); /drenazh/ukladka-drenazhnoy-truby/ (Глубина и уклон при укладке дрены); /drenazh/geotekstil-dlya-drenazha/ (Плотность геотекстиля для дренажной засыпки); /drenazh/drenazhnyy-kolodec/ (Как устроен дренажный колодец и зачем он нужен); / (С чего начать осушение участка: все материалы сайта)";9;9;"article-body:1; main-card:1; related:7"
/drenazh/drenazhnyy-kolodec/;Дренажный колодец своими руками: виды и устройство | НАШДОМ;Дренажный колодец: выбор и устройство своими руками;Показываю, как сделать дренажный колодец своими руками из трубы 315-400 мм: смотровой, коллекторный и поглотительный варианты, врезки, дно и крышка.;дренажный колодец устройство своими;939;yes;8;"/ (устройство дренажа на участке); /drenazh/ukladka-drenazhnoy-truby/ (с каким уклоном дрены приходят в колодец); /drenazh/rating-geotekstilya/ (рейтинге геотекстиля); /livnevka/livnevaya-kanalizaciya/ (отдельная ветка для дождевой воды); /drenazh/ukladka-drenazhnoy-truby/ (Как уложить дренажную трубу с правильным уклоном); /drenazh/drenazh-uchastka-svoimi-rukami/ (Полная схема дренажа участка своими руками); /drenazh/otvod-vody-ot-doma/ (Куда отводить воду от дома и фундамента); / (Все статьи о дренаже и отводе воды)";8;8;"article-body:3; main-card:1; related:4"
/drenazh/geotekstil-dlya-drenazha/;Геотекстиль для дренажа: какой выбрать и какая плотность | НАШДОМ;Геотекстиль для дренажа: какой выбрать и какая плотность;Объясняю, какой геотекстиль выбрать для дренажа: иглопробивной, термоскреплённый или тканый, оптимальная плотность 150-250 г/м², правила укладки с нахлёстом.;геотекстиль дренажа плотность;952;yes;8;"/drenazh/shcheben-dlya-drenazha/ (какую фракцию щебня засыпать внутрь); /drenazh/rating-geotekstilya/ (рейтинге геотекстиля для дренажа); /drenazh/drenazhnaya-truba/ (дренажная труба с заводской обмоткой); / (как спланировать дренаж на своём участке); /drenazh/shcheben-dlya-drenazha/ (Какая фракция щебня нужна в дренажную траншею); /drenazh/drenazhnaya-truba/ (Дренажные трубы в фильтре: когда он нужен); /drenazh/drenazh-uchastka-svoimi-rukami/ (Дренаж участка своими руками: пошаговый план); / (Главная страница справочника НАШДОМ)";6;6;"article-body:1; main-card:1; related:4"
/drenazh/otvod-vody-ot-doma/;Отвод воды от дома и фундамента: три рубежа защиты | НАШДОМ;Отвод воды от дома и фундамента;Разбираю отвод воды от фундамента дома: водосток и ливнёвка против крышевой воды, отмостка и планировка против поверхностной, кольцевой дренаж против грунтовой.;отвод фундамента;954;yes;7;"/livnevka/livnevaya-kanalizaciya/ (полноценная ливневая канализация с лотками); /drenazh/drenazh-uchastka-svoimi-rukami/ (пошаговый план дренажа всего участка); / (осушение и дренаж загородного участка); /livnevka/livnevaya-kanalizaciya/ (Монтаж ливневой канализации вокруг дома); /drenazh/drenazh-uchastka-svoimi-rukami/ (Как я делал дренаж участка: полный процесс); /drenazh/drenazhnyy-kolodec/ (Устройство коллекторного и поглотительного колодцев); / (Все разделы сайта об инженерии участка)";8;8;"article-body:1; main-card:3; related:4"
/drenazh/rating-drenazhnyh-trub/;Рейтинг дренажных труб: какую выбрать по диаметру и типу | НАШДОМ;Рейтинг дренажных труб: какую выбрать по диаметру и типу;Рейтинг дренажных труб: какая труба лучше для участка, какой диаметр нужен, какую трубу в геотекстиле выбрать. Сравнение типов по жёсткости и применению без цен.;рейтинг дренажных труб какую;666;yes;5;"/drenazh/drenazhnaya-truba/ (Как устроены дренажные трубы и виды перфорации); /drenazh/ukladka-drenazhnoy-truby/ (Глубина, уклон и порядок укладки дрены); /drenazh/shcheben-dlya-drenazha/ (Какой щебень и фракция идут в обсыпку); /drenazh/geotekstil-dlya-drenazha/ (Геотекстиль: плотность и укладка полотна); / (НАШДОМ: обзор всех тем по воде на участке)";3;3;article-body:3
/drenazh/rating-geotekstilya/;Лучший геотекстиль для дренажа: рейтинг по плотности | НАШДОМ;Лучший геотекстиль для дренажа: рейтинг по плотности и типу;Какой геотекстиль выбрать для дренажа: рейтинг по плотности и типу, чем дорнит отличается от геотекстиля, какая плотность нужна под щебень. Сравнение без цен.;лучший геотекстиль дренажа рейтинг;600;yes;5;"/drenazh/geotekstil-dlya-drenazha/ (Виды полотна и правила укладки геотекстиля); /drenazh/shcheben-dlya-drenazha/ (Какая фракция щебня идёт внутрь обёртки); /drenazh/drenazhnaya-truba/ (Когда нужна труба с фильтром из геотекстиля); /drenazh/drenazh-uchastka-svoimi-rukami/ (Как собрать дренаж участка целиком); / (НАШДОМ: обзор всех тем по воде на участке)";3;3;article-body:3
/drenazh/shcheben-dlya-drenazha/;Щебень для дренажа: какая фракция нужна и какой выбрать | НАШДОМ;Щебень для дренажа: какой нужен и какая фракция;Разбираю, какой щебень нужен для дренажа участка: сравнение гранитного, гравийного и известнякового, выбор фракции, расчёт объёма и схема укладки слоёв в траншее.;щебень дренажа фракция;1362;yes;8;"/drenazh/rating-drenazhnyh-trub/ (рейтинг дренажных труб); /drenazh/drenazhnyy-kolodec/ (поглотительный колодец с щебёночной засыпкой); /drenazh/ukladka-drenazhnoy-truby/ (глубина и уклон дренажной траншеи); / (устройство дренажа на участке); /drenazh/geotekstil-dlya-drenazha/ (Какой геотекстиль выбрать для дренажной траншеи); /drenazh/drenazhnaya-truba/ (Как выбрать дренажную трубу с перфорацией); /drenazh/ukladka-drenazhnoy-truby/ (Пошаговая укладка дренажной трубы: глубина и уклон); / (Все инструкции по дренажу, скважине и ливнёвке)";8;8;"article-body:1; main-card:2; related:5"
